"","city","year","origintime","magnitude","depth"
"123","Canterbury","2010",2010-09-03 16:48:49,4.95,8.559
"124","Canterbury","2010",2010-09-03 16:48:30,4.324,6.1263
"125","Canterbury","2010",2010-09-03 16:48:09,4.382,31.4
"126","Canterbury","2010",2010-09-03 16:48:02,4.429,13.2374
"127","Canterbury","2010",2010-09-03 16:47:25,4.414,5
"128","Canterbury","2010",2010-09-03 16:46:35,4.516,5
"129","Canterbury","2010",2010-09-03 16:46:07,4.817,7.1462
"130","Canterbury","2010",2010-09-03 16:45:31,4.727,18.6778
"131","Canterbury","2010",2010-09-03 16:44:57,5.359,6.6817
"132","Canterbury","2010",2010-09-03 16:44:12,4.491,11.324
"133","Canterbury","2010",2010-09-03 16:43:51,4.569,12.7419
"134","Canterbury","2010",2010-09-03 16:43:28,5.144,9.4878
"135","Canterbury","2010",2010-09-03 16:42:47,4.979,9.3622
"136","Canterbury","2010",2010-09-03 16:42:28,4.912,8.1763
"137","Canterbury","2010",2010-09-03 16:42:20,4.945,11.2593
"138","Canterbury","2010",2010-09-03 16:42:00,4.822,5
"139","Canterbury","2010",2010-09-03 16:41:17,4.971,9.8851
"140","Canterbury","2010",2010-09-03 16:40:20,4.75,24.8006
"141","Canterbury","2010",2010-09-03 16:40:13,4.565,8.317
"142","Canterbury","2010",2010-09-03 16:39:56,4.921,14.2405
"143","Canterbury","2010",2010-09-03 16:39:03,5.335,17.6058
"144","Canterbury","2010",2010-09-03 16:38:42,5.162,10.1591
"145","Canterbury","2010",2010-09-03 16:38:17,5.434,6.2919
"146","Canterbury","2010",2010-09-03 16:37:36,5.532,11.8823
"147","Canterbury","2010",2010-09-03 16:37:17,5.114,7.8273
"148","Canterbury","2010",2010-09-03 16:37:02,5.815,10.0257
"149","Canterbury","2010",2010-09-03 16:35:41,7.2,11.0426
"150","Canterbury","2010",2010-06-01 21:07:08,4.34,53.2116
"151","Canterbury","2009",2009-11-04 02:52:41,4.609,89.719
"152","Canterbury","2009",2009-11-03 20:59:57,4.2,2
"153","Canterbury","2009",2009-04-13 02:31:35,4,5
"154","Canterbury","2009",2009-03-27 16:46:41,4.6,14.1454
"155","Canterbury","2009",2009-01-30 08:26:57,4.4,7.7651
"156","Canterbury","2008",2008-12-17 19:54:59,4.6,7.2539
"157","Canterbury","2008",2008-09-26 07:23:02,5,23.8942
"158","Canterbury","2008",2008-09-25 03:57:18,4.4,20.2489
"159","Canterbury","2008",2008-09-24 22:40:37,4.724,20.9535
"160","Canterbury","2008",2008-09-05 02:35:37,4.5,12
"161","Canterbury","2008",2008-07-12 17:20:33,4,12
"162","Canterbury","2008",2008-03-04 16:01:09,4.383,33
"163","Canterbury","2008",2008-01-10 01:27:48,4.334,72.1121
"164","Canterbury","2007",2007-11-06 23:38:18,4,60.3748
"165","Canterbury","2007",2007-11-06 22:17:38,4.9,59.4216
"166","Canterbury","2007",2007-10-06 12:52:23,4.3,70.3691
"167","Canterbury","2007",2007-10-03 19:21:15,4.042,82.4615
